Time,ECG [V],Annotation
[21:37:30.000],-0.251,Awake
[21:37:30.004],-0.251,Awake
[21:37:30.008],-0.251,Awake
[21:37:30.012],-0.251,Awake
[21:37:30.016],-0.243,Awake
[21:37:30.020],-0.243,Awake
[21:37:30.024],-0.243,Awake
[21:37:30.028],-0.243,Awake
[21:37:30.032],-0.235,Awake
[21:37:30.036],-0.235,Awake
[21:37:30.040],-0.235,Awake
[21:37:30.044],-0.235,Awake
[21:37:30.048],-0.235,Awake
[21:37:30.052],-0.243,Awake
[21:37:30.056],-0.243,Awake
[21:37:30.060],-0.243,Awake
[21:37:30.064],-0.235,Awake
[21:37:30.068],-0.235,Awake
[21:37:30.072],-0.243,Awake
[21:37:30.076],-0.235,Awake
[21:37:30.080],-0.235,Awake
[21:37:30.084],-0.235,Awake
[21:37:30.088],-0.235,Awake
[21:37:30.092],-0.243,Awake
[21:37:30.096],-0.243,Awake
[21:37:30.100],-0.243,Awake
[21:37:30.104],-0.243,Awake
[21:37:30.108],-0.243,Awake
[21:37:30.112],-0.235,Awake
[21:37:30.116],-0.235,Awake
[21:37:30.120],-0.227,Awake
[21:37:30.124],-0.235,Awake
[21:37:30.128],-0.235,Awake
[21:37:30.132],-0.235,Awake
[21:37:30.136],-0.235,Awake
[21:37:30.140],-0.243,Awake
[21:37:30.144],-0.243,Awake
[21:37:30.148],-0.235,Awake
[21:37:30.152],-0.243,Awake
[21:37:30.156],-0.243,Awake
[21:37:30.160],-0.243,Awake
[21:37:30.164],-0.235,Awake
[21:37:30.168],-0.227,Awake
[21:37:30.172],-0.227,Awake
[21:37:30.176],-0.22,Awake
[21:37:30.180],-0.212,Awake
[21:37:30.184],-0.212,Awake
[21:37:30.188],-0.212,Awake
[21:37:30.192],-0.212,Awake
[21:37:30.196],-0.204,Awake
[21:37:30.200],-0.196,Awake
[21:37:30.204],-0.188,Awake
[21:37:30.208],-0.18,Awake
[21:37:30.212],-0.165,Awake
[21:37:30.216],-0.157,Awake
[21:37:30.220],-0.157,Awake
[21:37:30.224],-0.165,Awake
[21:37:30.228],-0.173,Awake
[21:37:30.232],-0.173,Awake
[21:37:30.236],-0.18,Awake
[21:37:30.240],-0.196,Awake
[21:37:30.244],-0.204,Awake
[21:37:30.248],-0.204,Awake
[21:37:30.252],-0.204,Awake
[21:37:30.256],-0.212,Awake
[21:37:30.260],-0.22,Awake
[21:37:30.264],-0.227,Awake
[21:37:30.268],-0.243,Awake
[21:37:30.272],-0.259,Awake
[21:37:30.276],-0.267,Awake
[21:37:30.280],-0.267,Awake
[21:37:30.284],-0.275,Awake
[21:37:30.288],-0.282,Awake
[21:37:30.292],-0.282,Awake
[21:37:30.296],-0.275,Awake
[21:37:30.300],-0.275,Awake
[21:37:30.304],-0.275,Awake
[21:37:30.308],-0.275,Awake
[21:37:30.312],-0.275,Awake
[21:37:30.316],-0.275,Awake
[21:37:30.320],-0.282,Awake
[21:37:30.324],-0.282,Awake
[21:37:30.328],-0.282,Awake
[21:37:30.332],-0.275,Awake
[21:37:30.336],-0.275,Awake
[21:37:30.340],-0.267,Awake
[21:37:30.344],-0.235,Awake
[21:37:30.348],-0.149,Awake
[21:37:30.352],0,Awake
[21:37:30.356],0.259,Awake
[21:37:30.360],0.604,Awake
[21:37:30.364],0.988,Awake
[21:37:30.368],0.996,Awake
[21:37:30.372],0.996,Awake
[21:37:30.376],0.996,Awake
[21:37:30.380],0.996,Awake
[21:37:30.384],0.659,Awake
[21:37:30.388],0.016,Awake
[21:37:30.392],-0.494,Awake
[21:37:30.396],-0.753,Awake
[21:37:30.400],-0.776,Awake
[21:37:30.404],-0.682,Awake
[21:37:30.408],-0.565,Awake
[21:37:30.412],-0.471,Awake
[21:37:30.416],-0.416,Awake
[21:37:30.420],-0.392,Awake
[21:37:30.424],-0.4,Awake
[21:37:30.428],-0.4,Awake
[21:37:30.432],-0.4,Awake
[21:37:30.436],-0.4,Awake
[21:37:30.440],-0.392,Awake
[21:37:30.444],-0.392,Awake
[21:37:30.448],-0.376,Awake
[21:37:30.452],-0.369,Awake
[21:37:30.456],-0.376,Awake
[21:37:30.460],-0.369,Awake
[21:37:30.464],-0.361,Awake
[21:37:30.468],-0.361,Awake
[21:37:30.472],-0.361,Awake
[21:37:30.476],-0.361,Awake
[21:37:30.480],-0.361,Awake
[21:37:30.484],-0.353,Awake
[21:37:30.488],-0.353,Awake
[21:37:30.492],-0.345,Awake
[21:37:30.496],-0.345,Awake
[21:37:30.500],-0.337,Awake
[21:37:30.504],-0.337,Awake
[21:37:30.508],-0.337,Awake
[21:37:30.512],-0.329,Awake
[21:37:30.516],-0.329,Awake
[21:37:30.520],-0.329,Awake
[21:37:30.524],-0.329,Awake
[21:37:30.528],-0.322,Awake
[21:37:30.532],-0.322,Awake
[21:37:30.536],-0.322,Awake
[21:37:30.540],-0.322,Awake
[21:37:30.544],-0.314,Awake
[21:37:30.548],-0.306,Awake
[21:37:30.552],-0.306,Awake
[21:37:30.556],-0.306,Awake
[21:37:30.560],-0.298,Awake
[21:37:30.564],-0.29,Awake
[21:37:30.568],-0.29,Awake
[21:37:30.572],-0.282,Awake
[21:37:30.576],-0.282,Awake
[21:37:30.580],-0.267,Awake
[21:37:30.584],-0.259,Awake
[21:37:30.588],-0.259,Awake
[21:37:30.592],-0.251,Awake
[21:37:30.596],-0.243,Awake
[21:37:30.600],-0.235,Awake
[21:37:30.604],-0.227,Awake
[21:37:30.608],-0.22,Awake
[21:37:30.612],-0.204,Awake
[21:37:30.616],-0.196,Awake
[21:37:30.620],-0.188,Awake
[21:37:30.624],-0.18,Awake
[21:37:30.628],-0.173,Awake
[21:37:30.632],-0.165,Awake
[21:37:30.636],-0.165,Awake
[21:37:30.640],-0.165,Awake
[21:37:30.644],-0.157,Awake
[21:37:30.648],-0.157,Awake
[21:37:30.652],-0.149,Awake
